name,address,city,cuisine,private space,recommended by,notes,google rating,still open?,menu,website,latitude,longitude
NENI Amsterdam,"Stadionplein 8, 1076 CM Amsterdam",Amsterdam,Middle Eastern,Yes,Rochelle,Next to the Amsterdam office and great for big groups,4.6,,google.com/url?q=https://neni-amsterdam.nl/menus&sa=D&source=editors&ust=1783331178273227&usg=AOvVaw1Z5J0jGcMOGRHfoNwHElpb,google.com/url?q=https://neni-amsterdam.nl/nl?gad_source%3D1%26gad_campaignid%3D23054449195%26gbraid%3D0AAAABBSGwgeoCxqgpZRFm0UuTyZQ1Rjzb%26gclid%3DCjwKCAjwpK3SBhASEiwAtV1SPNLmExhkK9SEcKn_rFYpcxU-6eaS2RTAvJfR-v5inkt1OrkWWhPx0hoCd3oQAvD_BwE&sa=D&source=editors&ust=1783329653427481&usg=AOvVaw3xVNyL7FWK1nBiAmFEC1jR,52.3447021,4.8562009
Restaurant Wils,"Stadionplein 26, 1076 CM Amsterdam",Amsterdam,Modern European,,Rochelle,"Next to the Amsterdam office, a bit fancy but not white table cloth fancy",4.5,,,,52.3433895,4.8561303
"Hasta La Vista, Baby - Restaurant & Rooftop Bar","Eduard van Beinumstraat 40, 1077 CZ Amsterdam",Amsterdam,Modern European,,Rochelle,"On the rooftop of the Melia hotel. You can do a buyout of the whole thing which we did for XLT once, food is lovely.",4.5,,,,52.3398555,4.870975
Strandzuid,"Europaplein 22, 1078 GZ Amsterdam",Amsterdam,Modern European,,Rochelle,"Great for in summer as they have outdoor seating, its right by the water. Food is okay, the best thing this place is for is private buyout for events. We did an EOQ there with a BBQ.",4,,,,52.3416704,4.8866304
Nela Restaurant,"Beethovenstraat 515, 1083 HK Amsterdam",Amsterdam,Mediterranean,,Rochelle,"It is a bit on the pricey side, it is a vibey restaurant with a lovely interior. EA team did a dinner here.",4.4,,,,52.3376363,4.8773376
The SIREN Restaurant & Bar,"Rokin 83, 1012 KL Amsterdam",Amsterdam,Mediterranean,,Rochelle,"Really cool interior, tables have a button you can press for champagne. Food is great also, they do group menus.",4.6,,,,52.3703553,4.8930936
Mata Hari,"Oudezijds Achterburgwal 22, 1012 DM Amsterdam",Amsterdam,Modern European,,Rochelle,"In the center of town, handy if you want to take a boat to town and have dinner after. Very much in the redlight district.",4.3,,,,,
Il Fiorista,"17 W 26th St, New York, NY 10010, United States",New York,Italian,,Ali,Italian restaurant & floral boutique; rez or walkins welcome,4.4,,,,,
Upland,"345 Park Ave S, New York, NY 10010, United States",New York,Mediterranean,,Ali,"""Casually chic"" mediterranean influenced",4.4,,,,,
Sabai Thai,"432 Park Ave S, New York, NY 10016, United States",New York,Thai,,Ali,,4.5,,,,,
Her Name is Han,"17 E 31st St, New York, NY 10016, United States",New York,Korean,,Ali,Small restaurant so rez recommended,4.5,,,,,
Stretch Pizza,"331 Park Ave S, New York, NY 10010, United States",New York,Other,,Ali,Casual pizza spot; can make rez or walkin,4.8,,,,,
Friend of a Farmer,"77 Irving Pl Ground Floor, New York, NY 10003, United States",New York,American,,Ali,American farmhouse,4.3,,,,,
Pete's Tavern,"129 E 18th St, New York, NY 10003, United States",New York,American,,Ali,American / Italian-inspired; historic tavern,4.4,,,,,
Union Square Cafe,"101 E 19th St, New York, NY 10003, United States",New York,American,,Ali,New American; upscale casual,4.4,,,,,
Molly's Shebeen,"287 3rd Ave, New York, NY 10010, United States",New York,Other,,Ali,"Casual/historic Irish pub (no rez; sawdust on the floor, FYI!)",4.5,,,,,
Pranakhon,"88 University Pl, New York, NY 10003, United States",New York,Thai,,Ali,,4.8,,,,,
Village Taverna,"81 University Pl, New York, NY 10003, United States",New York,Greek,,Ali,,4.3,,,,,
John's of Bleecker Street,"278 Bleecker St, New York, NY 10014, United States",New York,Other,,Ali,"Casual, pizza (no rez, walkin only)",4.6,,,,,
Butter,"70 W 45th St, New York, NY 10036, United States",New York,American,,Ali,American (reservation recommended),4.3,,,,,
The Elgin,"64 W 48th St, New York, NY 10036, United States",New York,American,,Ali,,4.5,,,,,
Mitr Thai,"37 W 46th St, New York, NY 10036, United States",New York,Thai,,Ali,,4.8,,,,,
Quality Italian,"57 W 57th St, New York, NY 10019, United States",New York,Italian,,Ali,,4.4,,,,,
Quality Bistro,"120 W 55th St, New York, NY 10019, United States",New York,French,,Ali,,4.3,,,,,
estiatorio Milos,"125 W 55th St, New York, NY 10019, United States",New York,Greek,,Ali,"Upscale, rez recommended",4.5,,,,,
Mom's Kitchen and Bar,"701 9th Ave, New York, NY 10019, United States",New York,American,,Ali,"Casual American, ""upscale"" diner food",4.5,,,,,
The Flatiron Room,"37 W 26th St, New York, NY 10010, United States",New York,American,,Ali,Not open for lunch,4.5,,,,,
Koloman,,New York,Korean,,Ali,,,No,,,,
Moono,"29 E 32nd St, New York, NY 10016, United States",New York,Korean,,Ali,Can't do veg or gf,4.5,,,,,
La Pecora Bianca,"20 W 40th St, New York, NY 10018, United States",New York,Italian,Yes,Ali,,4,,,,,
Gaia,"42 W 35th St, New York, NY 10001, United States",New York,Greek,,Ali,Can be good for large groups,4.7,,,,,
ABC Kitchen,"35 E 18th St, New York, NY 10003, United States",New York,American,,Ali,,4.6,,,,,
Novitá,"102 E 22nd St, New York, NY 10010, United States",New York,Italian,,Ali,,4.2,,,,,
The Clocktower,"5 Madison Ave, New York, NY 10010, United States",New York,British,Yes,Ali,,4.4,,,,,
Badcuyp,"Eerste Sweelinckstraat 10, 1073 CM Amsterdam",Amsterdam,Steakhouse,,Rochelle,"Primarily steak but they actually have quite a few non-steak options. It is dimly lit, candle light vibes, a bit bougie and overall a more 'special' restaurant.",4.6,,https://badcuypamsterdam.nl/menu/,https://badcuypamsterdam.nl/,52.3566372,4.8970635